account_id,customer_id,account_type,balance,status
ACC0200067,CUST000067,Savings,183661,Dormant
ACC0200068,CUST000068,Savings,26358,Active
ACC0200069,CUST000069,Current,6653,Active
ACC0200070,CUST000070,Salary,61763,Active
ACC0200071,CUST000071,Savings,126477,Active
ACC0200072,CUST000072,Salary,60273,Active
ACC0200073,CUST000073,Savings,49000,Active
ACC0200074,CUST000074,Salary,46649,Active
ACC0200075,CUST000075,Current,162932,Active
ACC0200076,CUST000076,Current,38727,Active
ACC0200077,CUST000077,Salary,20051,Active
ACC0200078,CUST000078,Current,86877,Active
ACC0200079,CUST000079,Salary,198773,Active
ACC0200080,CUST000080,Salary,75515,Active
ACC0200081,CUST000081,Current,102489,Active
ACC0200082,CUST000082,Current,21483,Active
ACC0200083,CUST000083,Savings,61291,Active
ACC0200084,CUST000084,Savings,62016,Active
ACC0200085,CUST000085,Savings,110685,Dormant
ACC0200086,CUST000086,Salary,129285,Active
ACC0200087,CUST000087,Salary,109923,Active
ACC0200088,CUST000088,Savings,70392,Active
ACC0200089,CUST000089,Savings,94361,Active
ACC0200090,CUST000090,Savings,37194,Active
ACC0200091,CUST000091,Savings,60838,Active
ACC0200092,CUST000092,Salary,197979,Active
ACC0200093,CUST000093,Salary,157137,Active
ACC0200094,CUST000094,Savings,123549,Active
ACC0200095,CUST000095,Current,79764,Dormant
ACC0200096,CUST000096,Savings,74785,Active
ACC0200097,CUST000097,Current,14469,Active
ACC0200098,CUST000098,Salary,107633,Active
ACC0200099,CUST000099,Salary,18159,Active
ACC0200100,CUST000100,Current,78198,Active
ACC0200101,CUST000101,Savings,121327,Active
ACC0200102,CUST000102,Current,165549,Active
ACC0200103,CUST000103,Current,192292,Active
ACC0200104,CUST000104,Current,83617,Active
ACC0200105,CUST000105,Savings,101785,Active
ACC0200106,CUST000106,Current,141501,Active
ACC0200107,CUST000107,Savings,107822,Active
ACC0200108,CUST000108,Salary,141595,Active
ACC0200109,CUST000109,Savings,110690,Active
ACC0200110,CUST000110,Savings,62209,Active
ACC0200111,CUST000111,Salary,44123,Active
ACC0200112,CUST000112,Salary,196353,Active
ACC0200113,CUST000113,Current,186612,Active
ACC0200114,CUST000114,Salary,180777,Active
ACC0200115,CUST000115,Savings,112798,Active
ACC0200116,CUST000116,Current,147108,Active
ACC0200117,CUST000117,Salary,30455,Active
ACC0200118,CUST000118,Salary,89692,Active
ACC0200119,CUST000119,Salary,123698,Active
ACC0200120,CUST000120,Savings,42610,Active
ACC0200121,CUST000121,Salary,55316,Active
ACC0200122,CUST000122,Savings,150877,Active
ACC0200123,CUST000123,Savings,129117,Active
ACC0200124,CUST000124,Current,10569,Active
ACC0200125,CUST000125,Salary,45559,Active
ACC0200126,CUST000126,Salary,163817,Active
ACC0200127,CUST000127,Salary,107911,Active
ACC0200128,CUST000128,Current,72259,Active
ACC0200129,CUST000129,Salary,131476,Active
ACC0200130,CUST000130,Savings,55681,Active
ACC0200131,CUST000131,Current,40834,Active
ACC0200132,CUST000132,Salary,108587,Active
ACC0200133,CUST000133,Savings,195438,Active
ACC0200134,CUST000134,Current,135152,Active
ACC0200135,CUST000135,Salary,36622,Dormant
ACC0200136,CUST000136,Savings,122213,Active
ACC0200137,CUST000137,Current,61076,Active
ACC0200138,CUST000138,Salary,39264,Active
ACC0200139,CUST000139,Savings,45134,Active
ACC0200140,CUST000140,Current,190967,Active
ACC0200141,CUST000141,Salary,88717,Active
ACC0200142,CUST000142,Salary,70035,Active
ACC0200143,CUST000143,Salary,39242,Active
ACC0200144,CUST000144,Salary,80812,Active
ACC0200145,CUST000145,Savings,53135,Active
ACC0200146,CUST000146,Savings,174947,Active
ACC0200147,CUST000147,Current,71147,Active
ACC0200148,CUST000148,Current,186969,Active
ACC0200149,CUST000149,Salary,43561,Active
ACC0200150,CUST000150,Current,12498,Active
ACC0200151,CUST000151,Current,186362,Active
ACC0200152,CUST000152,Savings,109462,Active
ACC0200153,CUST000153,Savings,125902,Active
ACC0200154,CUST000154,Salary,86021,Active
ACC0200155,CUST000155,Salary,79797,Active
ACC0200156,CUST000156,Savings,194442,Active
ACC0200157,CUST000157,Salary,18195,Active
ACC0200158,CUST000158,Current,135810,Active
ACC0200159,CUST000159,Savings,138092,Active
ACC0200160,CUST000160,Salary,74961,Active
ACC0200161,CUST000161,Current,62518,Active
ACC0200162,CUST000162,Savings,111244,Active
ACC0200163,CUST000163,Savings,160760,Active
ACC0200164,CUST000164,Savings,109634,Active
ACC0200165,CUST000165,Current,134856,Active
ACC0200166,CUST000166,Current,96148,Active
ACC0200167,CUST000167,Savings,64592,Active
ACC0200168,CUST000168,Savings,39676,Dormant
ACC0200169,CUST000169,Salary,198765,Active
ACC0200170,CUST000170,Current,121975,Active
ACC0200171,CUST000171,Savings,171359,Active
ACC0200172,CUST000172,Salary,184206,Active
ACC0200173,CUST000173,Savings,19191,Active
ACC0200174,CUST000174,Current,154595,Active
ACC0200175,CUST000175,Current,72971,Active
ACC0200176,CUST000176,Current,195477,Active
ACC0200177,CUST000177,Savings,94297,Active
ACC0200178,CUST000178,Salary,141545,Active
ACC0200179,CUST000179,Salary,75960,Active
ACC0200180,CUST000180,Savings,139765,Active
ACC0200181,CUST000181,Salary,75859,Active
ACC0200182,CUST000182,Salary,52470,Active
ACC0200183,CUST000183,Savings,103518,Active
ACC0200184,CUST000184,Current,41120,Active
ACC0200185,CUST000185,Salary,182493,Active
ACC0200186,CUST000186,Savings,141225,Active
ACC0200187,CUST000187,Savings,48203,Active
ACC0200188,CUST000188,Current,173939,Active
ACC0200189,CUST000189,Current,69848,Active
ACC0200190,CUST000190,Salary,58708,Active
ACC0200191,CUST000191,Current,161951,Active
ACC0200192,CUST000192,Current,161468,Dormant
ACC0200193,CUST000193,Current,37808,Active
ACC0200194,CUST000194,Current,140885,Dormant
ACC0200195,CUST000195,Current,32142,Active
ACC0200196,CUST000196,Savings,25797,Active
ACC0200197,CUST000197,Current,181779,Active
ACC0200198,CUST000198,Current,76772,Active
ACC0200199,CUST000199,Savings,23149,Active
ACC0200200,CUST000200,Salary,70743,Active
ACC0200201,CUST000201,Current,13275,Active
ACC0200202,CUST000202,Current,36219,Active
ACC0200203,CUST000203,Salary,67112,Active
ACC0200204,CUST000204,Savings,117157,Active
ACC0200205,CUST000205,Salary,199192,Active
ACC0200206,CUST000206,Current,157330,Active
ACC0200207,CUST000207,Savings,125548,Active
ACC0200208,CUST000208,Savings,60713,Active
ACC0200209,CUST000209,Salary,179522,Active
ACC0200210,CUST000210,Savings,183120,Active
ACC0200211,CUST000211,Salary,194897,Active
ACC0200212,CUST000212,Savings,60070,Active
ACC0200213,CUST000213,Savings,159591,Active
ACC0200214,CUST000214,Current,156677,Active
ACC0200215,CUST000215,Savings,159169,Dormant
ACC0200216,CUST000216,Current,28487,Active
ACC0200217,CUST000217,Salary,100469,Active
ACC0200218,CUST000218,Current,113580,Active
ACC0200219,CUST000219,Savings,181535,Active
ACC0200220,CUST000220,Savings,9528,Active
ACC0200221,CUST000221,Savings,154747,Active
ACC0200222,CUST000222,Savings,34634,Active
ACC0200223,CUST000223,Current,88958,Active
ACC0200224,CUST000224,Salary,7330,Active
ACC0200225,CUST000225,Savings,104560,Active
ACC0200226,CUST000226,Savings,21204,Active
ACC0200227,CUST000227,Salary,114816,Active
ACC0200228,CUST000228,Savings,54183,Active
ACC0200229,CUST000229,Salary,174536,Active
ACC0200230,CUST000230,Current,189391,Active
ACC0200231,CUST000231,Current,18910,Active
ACC0200232,CUST000232,Savings,152677,Active
ACC0200233,CUST000233,Savings,79197,Active
ACC0200234,CUST000234,Current,148204,Active
ACC0200235,CUST000235,Salary,62318,Active
ACC0200236,CUST000236,Current,101633,Active
ACC0200237,CUST000237,Current,137309,Active
ACC0200238,CUST000238,Salary,105555,Active
ACC0200239,CUST000239,Savings,31150,Active
ACC0200240,CUST000240,Savings,129254,Active
ACC0200241,CUST000241,Current,54744,Active
ACC0200242,CUST000242,Current,79478,Active
ACC0200243,CUST000243,Salary,143533,Active
ACC0200244,CUST000244,Salary,33544,Active
ACC0200245,CUST000245,Salary,107558,Active
ACC0200246,CUST000246,Savings,75346,Active
ACC0200247,CUST000247,Salary,12942,Active
ACC0200248,CUST000248,Current,38976,Active
ACC0200249,CUST000249,Salary,68236,Active
ACC0200250,CUST000250,Salary,193117,Active
ACC0200251,CUST000251,Savings,78429,Dormant
ACC0200252,CUST000252,Salary,149680,Active
ACC0200253,CUST000253,Current,165400,Active
ACC0200254,CUST000254,Savings,76698,Active
ACC0200255,CUST000255,Current,118315,Dormant
ACC0200256,CUST000256,Savings,8047,Active
ACC0200257,CUST000257,Current,160699,Active
ACC0200258,CUST000258,Current,155468,Active
ACC0200259,CUST000259,Salary,53500,Active
ACC0200260,CUST000260,Savings,18615,Active
ACC0200261,CUST000261,Salary,26134,Active
ACC0200262,CUST000262,Salary,80740,Active
ACC0200263,CUST000263,Savings,24756,Active
ACC0200264,CUST000264,Savings,85420,Active
ACC0200265,CUST000265,Savings,45694,Active
ACC0200266,CUST000266,Salary,122586,Dormant
ACC0200267,CUST000267,Current,115153,Active
ACC0200268,CUST000268,Current,141667,Active
ACC0200269,CUST000269,Current,116876,Active
ACC0200270,CUST000270,Savings,64875,Active
ACC0200271,CUST000271,Savings,69170,Active
ACC0200272,CUST000272,Current,8539,Active
ACC0200273,CUST000273,Salary,180491,Active
ACC0200274,CUST000274,Savings,23695,Active
ACC0200275,CUST000275,Current,28984,Active
ACC0200276,CUST000276,Savings,160368,Active
ACC0200277,CUST000277,Savings,16047,Active
ACC0200278,CUST000278,Savings,6460,Active
ACC0200279,CUST000279,Salary,181060,Active
ACC0200280,CUST000280,Salary,196031,Dormant
ACC0200281,CUST000281,Savings,169994,Active
ACC0200282,CUST000282,Salary,151006,Active
ACC0200283,CUST000283,Current,32276,Active
ACC0200284,CUST000284,Current,61489,Active
ACC0200285,CUST000285,Current,155215,Active
ACC0200286,CUST000286,Salary,180790,Active
ACC0200287,CUST000287,Savings,184617,Active
ACC0200288,CUST000288,Savings,110774,Active
ACC0200289,CUST000289,Current,37315,Active
ACC0200290,CUST000290,Salary,89001,Active
ACC0200291,CUST000291,Current,30802,Active
ACC0200292,CUST000292,Current,157429,Active
ACC0200293,CUST000293,Salary,56558,Active
ACC0200294,CUST000294,Savings,185894,Active
ACC0200295,CUST000295,Salary,20180,Active
ACC0200296,CUST000296,Current,130492,Active
ACC0200297,CUST000297,Savings,193634,Dormant
ACC0200298,CUST000298,Salary,85037,Active
ACC0200299,CUST000299,Current,104740,Active
ACC0200300,CUST000300,Salary,153504,Active
ACC0200301,CUST000301,Savings,77962,Active
ACC0200302,CUST000302,Salary,40350,Active
ACC0200303,CUST000303,Savings,44257,Active
ACC0200304,CUST000304,Salary,46804,Active
ACC0200305,CUST000305,Savings,83719,Active
ACC0200306,CUST000306,Savings,41878,Active
ACC0200307,CUST000307,Current,167285,Active
ACC0200308,CUST000308,Current,197428,Active
ACC0200309,CUST000309,Current,36506,Active
ACC0200310,CUST000310,Current,119122,Active
ACC0200311,CUST000311,Current,56062,Active
ACC0200312,CUST000312,Current,37408,Active
ACC0200313,CUST000313,Salary,17256,Active
ACC0200314,CUST000314,Salary,136506,Active
ACC0200315,CUST000315,Savings,178287,Active
ACC0200316,CUST000316,Current,30038,Active
ACC0200317,CUST000317,Salary,24855,Active
ACC0200318,CUST000318,Savings,56121,Active
ACC0200319,CUST000319,Salary,37261,Active
ACC0200320,CUST000320,Current,59788,Active
ACC0200321,CUST000321,Salary,19873,Active
ACC0200322,CUST000322,Current,98319,Active
ACC0200323,CUST000323,Savings,23969,Active
ACC0200324,CUST000324,Savings,10042,Active
ACC0200325,CUST000325,Current,8822,Active
ACC0200326,CUST000326,Current,106004,Active
ACC0200327,CUST000327,Salary,180385,Active
ACC0200328,CUST000328,Current,98640,Active
ACC0200329,CUST000329,Salary,116491,Active
ACC0200330,CUST000330,Savings,78573,Dormant
ACC0200331,CUST000331,Savings,172580,Active
ACC0200332,CUST000332,Savings,34347,Active
ACC0200333,CUST000333,Current,108105,Active
ACC0200334,CUST000334,Current,121413,Active
ACC0200335,CUST000335,Current,170097,Active
ACC0200336,CUST000336,Current,42922,Active
ACC0200337,CUST000337,Salary,73387,Active
ACC0200338,CUST000338,Current,46672,Active
ACC0200339,CUST000339,Savings,169521,Active
ACC0200340,CUST000340,Savings,29246,Active
ACC0200341,CUST000341,Savings,195965,Active
ACC0200342,CUST000342,Savings,125650,Active
ACC0200343,CUST000343,Savings,70275,Active
ACC0200344,CUST000344,Savings,162201,Active
ACC0200345,CUST000345,Savings,184115,Active
ACC0200346,CUST000346,Current,157658,Active
ACC0200347,CUST000347,Salary,79305,Active
ACC0200348,CUST000348,Salary,81523,Active
ACC0200349,CUST000349,Current,37356,Active
ACC0200350,CUST000350,Savings,74512,Active
ACC0200351,CUST000351,Current,148606,Active
ACC0200352,CUST000352,Savings,80701,Active
ACC0200353,CUST000353,Salary,53162,Active
ACC0200354,CUST000354,Savings,99013,Active
ACC0200355,CUST000355,Current,85392,Active
ACC0200356,CUST000356,Savings,82252,Active
ACC0200357,CUST000357,Salary,63769,Active
ACC0200358,CUST000358,Current,154774,Active
ACC0200359,CUST000359,Savings,139129,Active
ACC0200360,CUST000360,Salary,46245,Active
ACC0200361,CUST000361,Salary,179983,Active
ACC0200362,CUST000362,Savings,153626,Active
ACC0200363,CUST000363,Savings,137751,Active
ACC0200364,CUST000364,Salary,169851,Active
ACC0200365,CUST000365,Savings,6803,Active
ACC0200366,CUST000366,Salary,90537,Active
ACC0200367,CUST000367,Current,51947,Active
ACC0200368,CUST000368,Salary,149988,Active
ACC0200369,CUST000369,Current,79793,Active
ACC0200370,CUST000370,Current,134525,Active
ACC0200371,CUST000371,Current,26702,Active
ACC0200372,CUST000372,Salary,187661,Active
ACC0200373,CUST000373,Salary,71216,Active
ACC0200374,CUST000374,Current,72439,Active
ACC0200375,CUST000375,Savings,8038,Active
ACC0200376,CUST000376,Salary,26614,Active
ACC0200377,CUST000377,Savings,181264,Active
ACC0200378,CUST000378,Savings,195739,Active
ACC0200379,CUST000379,Current,115375,Active
ACC0200380,CUST000380,Savings,125120,Active
ACC0200381,CUST000381,Current,16986,Active
ACC0200382,CUST000382,Salary,123442,Active
ACC0200383,CUST000383,Savings,135881,Active
ACC0200384,CUST000384,Savings,53425,Active
ACC0200385,CUST000385,Current,165007,Active
ACC0200386,CUST000386,Current,162389,Dormant
ACC0200387,CUST000387,Savings,86856,Active
ACC0200388,CUST000388,Savings,50300,Active
ACC0200389,CUST000389,Savings,148620,Active
ACC0200390,CUST000390,Salary,28689,Active
ACC0200391,CUST000391,Current,55323,Active
ACC0200392,CUST000392,Savings,45470,Active
ACC0200393,CUST000393,Current,105469,Active
ACC0200394,CUST000394,Savings,116866,Active
ACC0200395,CUST000395,Current,130843,Active
ACC0200396,CUST000396,Current,40371,Active
ACC0200397,CUST000397,Savings,68747,Active
ACC0200398,CUST000398,Salary,55652,Active
ACC0200399,CUST000399,Current,57922,Active
ACC0200400,CUST000400,Salary,72658,Active
ACC0200401,CUST000401,Savings,102652,Active
ACC0200402,CUST000402,Savings,151695,Active
ACC0200403,CUST000403,Current,73390,Active
ACC0200404,CUST000404,Salary,80267,Active
ACC0200405,CUST000405,Savings,71735,Active
ACC0200406,CUST000406,Salary,9562,Active
ACC0200407,CUST000407,Savings,96671,Active
ACC0200408,CUST000408,Salary,78494,Active
ACC0200409,CUST000409,Salary,183767,Active
ACC0200410,CUST000410,Salary,173456,Active
ACC0200411,CUST000411,Salary,192056,Active
ACC0200412,CUST000412,Salary,143609,Active
ACC0200413,CUST000413,Salary,156858,Active
ACC0200414,CUST000414,Salary,67835,Active
ACC0200415,CUST000415,Savings,156842,Active
ACC0200416,CUST000416,Savings,98886,Active
ACC0200417,CUST000417,Salary,158723,Dormant
ACC0200418,CUST000418,Salary,105850,Active
ACC0200419,CUST000419,Salary,97547,Active
ACC0200420,CUST000420,Salary,133674,Active
ACC0200421,CUST000421,Salary,74274,Active
ACC0200422,CUST000422,Salary,60997,Active
ACC0200423,CUST000423,Current,168377,Active
ACC0200424,CUST000424,Savings,198163,Active
ACC0200425,CUST000425,Salary,137095,Active
ACC0200426,CUST000426,Savings,108774,Active
ACC0200427,CUST000427,Savings,106652,Active
ACC0200428,CUST000428,Savings,190953,Active
ACC0200429,CUST000429,Salary,160813,Active
ACC0200430,CUST000430,Savings,156312,Active
ACC0200431,CUST000431,Savings,9026,Active
ACC0200432,CUST000432,Salary,68242,Active
ACC0200433,CUST000433,Current,122932,Active
ACC0200434,CUST000434,Salary,89013,Active
ACC0200435,CUST000435,Salary,25082,Active
ACC0200436,CUST000436,Salary,167588,Active
ACC0200437,CUST000437,Current,41355,Active
ACC0200438,CUST000438,Current,99123,Dormant
ACC0200439,CUST000439,Savings,196196,Active
ACC0200440,CUST000440,Savings,40602,Active
ACC0200441,CUST000441,Current,77570,Active
ACC0200442,CUST000442,Savings,166897,Active
ACC0200443,CUST000443,Savings,57491,Active
ACC0200444,CUST000444,Salary,42741,Active
ACC0200445,CUST000445,Savings,120293,Active
ACC0200446,CUST000446,Current,65604,Active
ACC0200447,CUST000447,Current,14188,Active
ACC0200448,CUST000448,Salary,44487,Active
ACC0200449,CUST000449,Savings,134321,Active
ACC0200450,CUST000450,Savings,107032,Active
ACC0200451,CUST000451,Current,30801,Active
ACC0200452,CUST000452,Current,176671,Active
ACC0200453,CUST000453,Salary,111356,Active
ACC0200454,CUST000454,Current,184436,Active
ACC0200455,CUST000455,Salary,12294,Active
ACC0200456,CUST000456,Current,113506,Active
ACC0200457,CUST000457,Savings,112680,Active
ACC0200458,CUST000458,Savings,59969,Active
ACC0200459,CUST000459,Savings,185618,Active
ACC0200460,CUST000460,Salary,155082,Active
ACC0200461,CUST000461,Savings,17795,Active
ACC0200462,CUST000462,Salary,123612,Active
ACC0200463,CUST000463,Savings,62938,Active
ACC0200464,CUST000464,Savings,46540,Active
ACC0200465,CUST000465,Savings,63426,Active
ACC0200466,CUST000466,Savings,135395,Active
ACC0200467,CUST000467,Salary,14331,Active
ACC0200468,CUST000468,Salary,94018,Active
ACC0200469,CUST000469,Current,53695,Active
ACC0200470,CUST000470,Savings,187364,Active
ACC0200471,CUST000471,Savings,12812,Active
ACC0200472,CUST000472,Current,167641,Active
ACC0200473,CUST000473,Salary,114778,Active
ACC0200474,CUST000474,Salary,81227,Active
ACC0200475,CUST000475,Current,58215,Active
ACC0200476,CUST000476,Savings,134358,Active
ACC0200477,CUST000477,Salary,140931,Active
ACC0200478,CUST000478,Savings,151942,Active
ACC0200479,CUST000479,Salary,63712,Active
ACC0200480,CUST000480,Savings,108321,Active
ACC0200481,CUST000481,Current,83465,Active
ACC0200482,CUST000482,Savings,196694,Active
ACC0200483,CUST000483,Savings,119612,Active
ACC0200484,CUST000484,Current,143700,Active
ACC0200485,CUST000485,Savings,55021,Active
ACC0200486,CUST000486,Current,112717,Active
ACC0200487,CUST000487,Current,18524,Active
ACC0200488,CUST000488,Salary,189417,Active
ACC0200489,CUST000489,Savings,143365,Active
ACC0200490,CUST000490,Savings,171277,Active
ACC0200491,CUST000491,Savings,69017,Active
ACC0200492,CUST000492,Current,132176,Active
ACC0200493,CUST000493,Savings,171894,Active
ACC0200494,CUST000494,Salary,58855,Active
ACC0200495,CUST000495,Salary,86546,Active
ACC0200496,CUST000496,Current,83430,Active
ACC0200497,CUST000497,Salary,188092,Active
ACC0200498,CUST000498,Current,195100,Active
ACC0200499,CUST000499,Salary,115631,Active
ACC0200500,CUST000500,Salary,182498,Active
ACC0200501,CUST000501,Savings,86332,Active
ACC0200502,CUST000502,Savings,10522,Active
ACC0200503,CUST000503,Salary,141114,Active
ACC0200504,CUST000504,Current,17033,Active
ACC0200505,CUST000505,Salary,57668,Active
ACC0200506,CUST000506,Current,155140,Active
ACC0200507,CUST000507,Current,188727,Active
ACC0200508,CUST000508,Savings,108267,Active
ACC0200509,CUST000509,Salary,26594,Dormant
ACC0200510,CUST000510,Savings,67366,Active
ACC0200511,CUST000511,Salary,26216,Active
ACC0200512,CUST000512,Savings,72137,Dormant
ACC0200513,CUST000513,Current,118175,Dormant
ACC0200514,CUST000514,Current,190349,Active
ACC0200515,CUST000515,Savings,75879,Dormant
ACC0200516,CUST000516,Savings,78344,Active
ACC0200517,CUST000517,Salary,93500,Active
ACC0200518,CUST000518,Savings,155750,Active
ACC0200519,CUST000519,Salary,47551,Active
ACC0200520,CUST000520,Savings,17703,Active
ACC0200521,CUST000521,Salary,172008,Active
ACC0200522,CUST000522,Savings,77555,Active
ACC0200523,CUST000523,Savings,62898,Active
ACC0200524,CUST000524,Salary,178834,Active
ACC0200525,CUST000525,Savings,5958,Active
ACC0200526,CUST000526,Current,90969,Active
ACC0200527,CUST000527,Savings,52229,Active
ACC0200528,CUST000528,Savings,8209,Active
ACC0200529,CUST000529,Current,185130,Active
ACC0200530,CUST000530,Salary,38741,Active
ACC0200531,CUST000531,Current,114039,Active
ACC0200532,CUST000532,Savings,52954,Active
ACC0200533,CUST000533,Current,133726,Active
ACC0200534,CUST000534,Current,34426,Active
ACC0200535,CUST000535,Salary,35067,Active
ACC0200536,CUST000536,Salary,193446,Active
ACC0200537,CUST000537,Salary,126462,Active
ACC0200538,CUST000538,Current,149051,Active
ACC0200539,CUST000539,Salary,164803,Active
ACC0200540,CUST000540,Salary,197854,Active
ACC0200541,CUST000541,Savings,161901,Active
ACC0200542,CUST000542,Salary,109507,Active
ACC0200543,CUST000543,Current,188168,Active
ACC0200544,CUST000544,Salary,63052,Active
ACC0200545,CUST000545,Current,163288,Active
ACC0200546,CUST000546,Current,58650,Active
ACC0200547,CUST000547,Savings,53411,Active
ACC0200548,CUST000548,Current,111165,Active
ACC0200549,CUST000549,Savings,165402,Active
ACC0200550,CUST000550,Savings,133625,Active
ACC0200551,CUST000551,Salary,114247,Active
ACC0200552,CUST000552,Current,152962,Active
ACC0200553,CUST000553,Savings,165322,Active
ACC0200554,CUST000554,Savings,10268,Active
ACC0200555,CUST000555,Salary,5779,Active
ACC0200556,CUST000556,Savings,33824,Active
ACC0200557,CUST000557,Savings,145465,Dormant
ACC0200558,CUST000558,Savings,82673,Active
ACC0200559,CUST000559,Salary,92895,Active
ACC0200560,CUST000560,Savings,14682,Dormant
ACC0200561,CUST000561,Savings,53814,Active
ACC0200562,CUST000562,Savings,88047,Active
ACC0200563,CUST000563,Savings,102557,Active
ACC0200564,CUST000564,Salary,19472,Active
ACC0200565,CUST000565,Salary,173898,Active
ACC0200566,CUST000566,Salary,197858,Active
ACC0200567,CUST000567,Savings,122724,Active
ACC0200568,CUST000568,Current,47069,Active
ACC0200569,CUST000569,Current,45840,Active
ACC0200570,CUST000570,Salary,142051,Active
ACC0200571,CUST000571,Salary,130561,Active
ACC0200572,CUST000572,Savings,54459,Active
ACC0200573,CUST000573,Savings,24624,Active
ACC0200574,CUST000574,Salary,83653,Active
ACC0200575,CUST000575,Salary,116110,Active
ACC0200576,CUST000576,Savings,19017,Active
ACC0200577,CUST000577,Salary,87660,Dormant
ACC0200578,CUST000578,Savings,151531,Active
ACC0200579,CUST000579,Salary,99684,Dormant
ACC0200580,CUST000580,Salary,126260,Active
ACC0200581,CUST000581,Current,145762,Active
ACC0200582,CUST000582,Current,94342,Dormant
ACC0200583,CUST000583,Salary,186968,Active
ACC0200584,CUST000584,Salary,30230,Active
ACC0200585,CUST000585,Savings,159773,Active
ACC0200586,CUST000586,Savings,58805,Active
ACC0200587,CUST000587,Current,195085,Active
ACC0200588,CUST000588,Salary,161837,Active
ACC0200589,CUST000589,Salary,24261,Active
ACC0200590,CUST000590,Savings,165397,Active
ACC0200591,CUST000591,Savings,20762,Active
ACC0200592,CUST000592,Savings,150997,Active
ACC0200593,CUST000593,Current,65070,Active
ACC0200594,CUST000594,Savings,104374,Active
ACC0200595,CUST000595,Savings,153256,Active
ACC0200596,CUST000596,Savings,196239,Active
ACC0200597,CUST000597,Current,183848,Active
ACC0200598,CUST000598,Salary,69656,Active
ACC0200599,CUST000599,Current,69701,Active
ACC0200600,CUST000600,Savings,100638,Active
ACC0200601,CUST000601,Current,90213,Active
ACC0200602,CUST000602,Current,12602,Active
ACC0200603,CUST000603,Salary,49279,Active
ACC0200604,CUST000604,Savings,10495,Active
ACC0200605,CUST000605,Current,65807,Active
ACC0200606,CUST000606,Salary,57040,Active
ACC0200607,CUST000607,Savings,149821,Active
ACC0200608,CUST000608,Salary,178027,Dormant
ACC0200609,CUST000609,Current,79123,Active
ACC0200610,CUST000610,Current,106084,Active
ACC0200611,CUST000611,Savings,46337,Active
ACC0200612,CUST000612,Salary,61574,Active
